1,3213,BMW,Serie 1,25000,Manuel,4,3,Essence,130,4,red,0
2,3213,BMW,Serie 2,30000,Manuel,5,5,Essence,130,4,red,0
3,3213,BMW,Serie 3,50000,Auto,6,5,Essence,150,4,red,0
4,3213,AUDI,Q5,60000,Manuel,6,5,Essence,200,4,red,0
5,3213,AUDI,Q6,65000,Auto,7,5,Essence,210,4,dark,0
6,3213,VOLSKWAGEN,Polo,23000,Manuel,3,3,Essence,80,4,dark,0
7,3213,VOLSKWAGEN,Golf,30000,Auto,4,5,Essence,115,4,dark,0
8,3213,VOLSKWAGEN,T-Roc,35000,Manuel,7,5,Essence,120,4,dark,0
9,3213,PORSCHE,Cayman,66666,Auto,10,3,Essence,344,4,dark,0
10,3213,PORSCHE,Panamera mamen,121765,Manuel,15,5,Essence,676,4,dark,0
